Datetime,Open,High,Low,Close
2022-10-11 17:02:00,31.89050,31.89050,31.88750,31.88750
2022-10-11 17:03:00,31.89200,31.89200,31.88750,31.89100
2022-10-11 17:04:00,31.88750,31.89000,31.88650,31.89000
2022-10-11 17:05:00,31.89000,31.89000,31.88750,31.88800
2022-10-11 17:06:00,31.88800,31.88900,31.88700,31.88900
2022-10-11 17:07:00,31.88800,31.88900,31.88800,31.88900
2022-10-11 17:08:00,31.88800,31.88800,31.88800,31.88800
2022-10-11 17:09:00,31.88800,31.88800,31.88050,31.88700
2022-10-11 17:10:00,31.88700,31.88950,31.88700,31.88800
2022-10-11 17:11:00,31.88700,31.88950,31.88700,31.88950
2022-10-11 17:12:00,31.88600,31.88900,31.88600,31.88900
2022-10-11 17:13:00,31.88800,31.89000,31.88300,31.88700
2022-10-11 17:14:00,31.88700,31.88900,31.88450,31.88900
2022-10-11 17:15:00,31.88300,31.88900,31.88300,31.88600
2022-10-11 17:16:00,31.88600,31.88700,31.88400,31.88700
2022-10-11 17:17:00,31.88500,31.88700,31.88300,31.88300
2022-10-11 17:18:00,31.88300,31.88500,31.88300,31.88500
2022-10-11 17:19:00,31.88500,31.88600,31.87900,31.88000
2022-10-11 17:20:00,31.88300,31.88400,31.88300,31.88400
2022-10-11 17:21:00,31.88400,31.88400,31.88000,31.88000
2022-10-11 17:22:00,31.88100,31.88300,31.88100,31.88200
2022-10-11 17:23:00,31.88200,31.88300,31.87900,31.88000
2022-10-11 17:24:00,31.88100,31.88200,31.88100,31.88200
2022-10-11 17:25:00,31.88000,31.88200,31.88000,31.88100
2022-10-11 17:26:00,31.87900,31.88200,31.87900,31.88200
2022-10-11 17:27:00,31.88100,31.88200,31.87050,31.88200
2022-10-11 17:28:00,31.88100,31.88200,31.87050,31.88200
2022-10-11 17:29:00,31.88100,31.88200,31.87050,31.87200
2022-10-11 17:30:00,31.87100,31.87900,31.87100,31.87200
2022-10-11 17:31:00,31.87500,31.88000,31.87500,31.87700
2022-10-11 17:33:00,31.87700,31.87700,31.87100,31.87100
2022-10-11 17:34:00,31.87700,31.87900,31.86700,31.86900
2022-10-11 17:35:00,31.87900,31.87900,31.86900,31.86900
2022-10-11 17:36:00,31.87600,31.87700,31.86600,31.87700
2022-10-11 17:37:00,31.87600,31.87700,31.85700,31.87500
2022-10-11 17:38:00,31.87500,31.87500,31.85400,31.87300
2022-10-11 17:39:00,31.87200,31.87300,31.85800,31.87100
2022-10-11 17:40:00,31.85650,31.86800,31.85650,31.86700
2022-10-11 17:41:00,31.86700,31.86800,31.85800,31.86600
2022-10-11 17:42:00,31.86600,31.86700,31.85700,31.86700
2022-10-11 17:43:00,31.86500,31.86600,31.85800,31.86000
2022-10-11 17:44:00,31.86500,31.86600,31.85900,31.86100
2022-10-11 17:45:00,31.86600,31.86700,31.86000,31.86000
2022-10-11 17:46:00,31.86200,31.86600,31.86200,31.86300
2022-10-11 17:47:00,31.86300,31.87200,31.86100,31.86100
2022-10-11 17:48:00,31.86200,31.87300,31.86200,31.86400
2022-10-11 17:49:00,31.86500,31.86700,31.86500,31.86600
2022-10-11 17:50:00,31.86500,31.87200,31.86500,31.86700
2022-10-11 17:51:00,31.86600,31.87150,31.86600,31.87150
2022-10-11 17:52:00,31.86700,31.87100,31.86700,31.86800
2022-10-11 17:53:00,31.86800,31.87050,31.86700,31.87050
2022-10-11 17:54:00,31.86800,31.87000,31.86800,31.86900
2022-10-11 17:55:00,31.86800,31.87150,31.86800,31.87000
2022-10-11 17:56:00,31.87100,31.88650,31.86800,31.87000
2022-10-11 17:57:00,31.87000,31.89050,31.86900,31.87200
2022-10-11 17:58:00,31.87300,31.88400,31.87300,31.87500
2022-10-11 17:59:00,31.87500,31.89000,31.87500,31.88100
2022-10-11 18:00:00,31.88000,31.88400,31.87600,31.87700
2022-10-11 18:01:00,31.87900,31.88400,31.87800,31.88100
2022-10-11 18:02:00,31.88400,31.88600,31.87800,31.88100
2022-10-11 18:03:00,31.88600,31.88600,31.87800,31.88100
2022-10-11 18:04:00,31.87300,31.88600,31.87300,31.88200
2022-10-11 18:05:00,31.88000,31.88200,31.87350,31.88100
2022-10-11 18:06:00,31.87900,31.88200,31.87550,31.87700
2022-10-11 18:07:00,31.87500,31.87900,31.87500,31.87700
2022-10-11 18:08:00,31.87600,31.88000,31.87600,31.87800
2022-10-11 18:09:00,31.87700,31.87900,31.87600,31.87900
2022-10-11 18:10:00,31.87900,31.87900,31.87600,31.87700
2022-10-11 18:11:00,31.87600,31.87800,31.87600,31.87800
2022-10-11 18:12:00,31.87700,31.87700,31.87700,31.87700
2022-10-11 18:13:00,31.87800,31.88000,31.87700,31.88000
2022-10-11 18:14:00,31.87500,31.87900,31.87500,31.87900
2022-10-11 18:15:00,31.87900,31.88000,31.86850,31.87700
2022-10-11 18:16:00,31.87700,31.87800,31.86850,31.87400
2022-10-11 18:17:00,31.87700,31.87700,31.86300,31.87500
2022-10-11 18:18:00,31.87500,31.87600,31.85950,31.86050
2022-10-11 18:19:00,31.86900,31.87100,31.85950,31.86000
2022-10-11 18:20:00,31.86000,31.86400,31.86000,31.86400
2022-10-11 18:21:00,31.86600,31.86800,31.86000,31.86000
2022-10-11 18:22:00,31.86300,31.86700,31.86200,31.86250
2022-10-11 18:23:00,31.86000,31.86500,31.86000,31.86400
2022-10-11 18:24:00,31.86700,31.86850,31.86250,31.86300
2022-10-11 18:25:00,31.86500,31.86750,31.86400,31.86700
2022-10-11 18:26:00,31.86550,31.87000,31.86400,31.86700
2022-10-11 18:27:00,31.86600,31.86700,31.86600,31.86700
2022-10-11 18:28:00,31.86600,31.86800,31.86500,31.86700
2022-10-11 18:29:00,31.86800,31.86800,31.86400,31.86600
2022-10-11 18:30:00,31.86600,31.86800,31.86600,31.86700
2022-10-11 18:31:00,31.86800,31.86800,31.86500,31.86700
2022-10-11 18:32:00,31.86800,31.86800,31.86500,31.86700
2022-10-11 18:33:00,31.86700,31.86800,31.86250,31.86800
2022-10-11 18:34:00,31.86700,31.86700,31.86250,31.86250
2022-10-11 18:35:00,31.86400,31.86600,31.86200,31.86600
2022-10-11 18:36:00,31.86250,31.86600,31.86250,31.86300
2022-10-11 18:37:00,31.86400,31.86500,31.86200,31.86200
2022-10-11 18:38:00,31.86500,31.86500,31.86250,31.86300
2022-10-11 18:39:00,31.86200,31.86400,31.86200,31.86400
2022-10-11 18:40:00,31.86400,31.87050,31.86100,31.86100
2022-10-11 18:41:00,31.86200,31.87000,31.86100,31.86500
2022-10-11 18:42:00,31.86500,31.87200,31.86200,31.86300
2022-10-11 18:43:00,31.86200,31.87900,31.86200,31.87900
2022-10-11 18:44:00,31.86400,31.88400,31.86400,31.86700
2022-10-11 18:45:00,31.86600,31.88400,31.86500,31.86900
2022-10-11 18:46:00,31.88000,31.88000,31.86900,31.87100
2022-10-11 18:47:00,31.87000,31.87800,31.86900,31.87600
2022-10-11 18:48:00,31.87400,31.87900,31.87000,31.87300
2022-10-11 18:49:00,31.87000,31.87700,31.87000,31.87200
2022-10-11 18:50:00,31.87300,31.87800,31.87300,31.87400
2022-10-11 18:51:00,31.87400,31.87500,31.87200,31.87300
2022-10-11 18:52:00,31.87550,31.87650,31.87300,31.87500
2022-10-11 18:53:00,31.87400,31.87550,31.87300,31.87300
2022-10-11 18:54:00,31.87400,31.88250,31.87400,31.87500
2022-10-11 18:55:00,31.87400,31.88850,31.87400,31.87500
2022-10-11 18:56:00,31.87900,31.88650,31.87700,31.87800
2022-10-11 18:57:00,31.87800,31.88350,31.87800,31.88200
2022-10-11 18:58:00,31.87800,31.88250,31.87800,31.88000
2022-10-11 18:59:00,31.88000,31.88200,31.88000,31.88200
2022-10-11 19:00:00,31.88100,31.88300,31.88100,31.88300
2022-10-11 19:01:00,31.87300,31.88300,31.87300,31.88300
2022-10-11 19:02:00,31.87300,31.88400,31.87300,31.87600
2022-10-11 19:03:00,31.87900,31.88000,31.87600,31.87700
2022-10-11 19:04:00,31.87200,31.88000,31.87200,31.87700
2022-10-11 19:05:00,31.87200,31.87800,31.87200,31.87500
2022-10-11 19:06:00,31.87600,31.87700,31.86300,31.87200
2022-10-11 19:07:00,31.87400,31.87600,31.86500,31.87300
2022-10-11 19:08:00,31.87100,31.87300,31.86700,31.87200
2022-10-11 19:09:00,31.87200,31.87200,31.86400,31.87000
2022-10-11 19:10:00,31.87000,31.87000,31.86600,31.86900
2022-10-11 19:11:00,31.86800,31.86900,31.86400,31.86700
2022-10-11 19:12:00,31.86800,31.86800,31.86300,31.86600
2022-10-11 19:13:00,31.86600,31.86700,31.84950,31.86200
2022-10-11 19:14:00,31.86500,31.86600,31.84350,31.84400
2022-10-11 19:15:00,31.86500,31.86500,31.84300,31.85600
2022-10-11 19:16:00,31.85000,31.86100,31.84600,31.85900
2022-10-11 19:17:00,31.85900,31.85900,31.84600,31.85600
2022-10-11 19:18:00,31.85800,31.85800,31.84700,31.84800
2022-10-11 19:19:00,31.85600,31.85600,31.84800,31.85300
2022-10-11 19:20:00,31.85500,31.85500,31.84900,31.85200
2022-10-11 19:21:00,31.85100,31.85400,31.85100,31.85400
2022-10-11 19:22:00,31.85200,31.85500,31.85200,31.85300
2022-10-11 19:23:00,31.85200,31.85600,31.85200,31.85300
2022-10-11 19:24:00,31.85300,31.85600,31.85200,31.85500
2022-10-11 19:25:00,31.85500,31.85600,31.85400,31.85400
2022-10-11 19:26:00,31.85500,31.85650,31.85400,31.85600
2022-10-11 19:27:00,31.85600,31.85900,31.85500,31.85900
2022-10-11 19:28:00,31.85500,31.86000,31.85500,31.85700
2022-10-11 19:29:00,31.85800,31.86100,31.85700,31.85900
2022-10-11 19:30:00,31.85700,31.86000,31.85700,31.85900
2022-10-11 19:31:00,31.85900,31.86200,31.85800,31.86000
2022-10-11 19:32:00,31.85800,31.86000,31.85800,31.85900
2022-10-11 19:33:00,31.85900,31.86200,31.85900,31.86200
2022-10-11 19:34:00,31.86000,31.86100,31.85900,31.85900
2022-10-11 19:35:00,31.86000,31.86400,31.86000,31.86100
2022-10-11 19:36:00,31.86200,31.86300,31.86000,31.86000
2022-10-11 19:37:00,31.86000,31.86400,31.86000,31.86400
2022-10-11 19:38:00,31.86200,31.86500,31.86000,31.86100
2022-10-11 19:39:00,31.86000,31.86500,31.86000,31.86200
2022-10-11 19:40:00,31.86200,31.86500,31.86100,31.86100
2022-10-11 19:41:00,31.86200,31.86300,31.86100,31.86300
2022-10-11 19:42:00,31.86200,31.86300,31.86100,31.86300
2022-10-11 19:43:00,31.86200,31.86200,31.86200,31.86200
2022-10-11 19:44:00,31.86200,31.86200,31.86200,31.86200
2022-10-11 19:45:00,31.86200,31.86200,31.86200,31.86200
2022-10-11 19:46:00,31.86300,31.86300,31.86200,31.86200
2022-10-11 19:47:00,31.86250,31.86250,31.86250,31.86250
2022-10-11 19:48:00,31.86200,31.86250,31.86200,31.86250
2022-10-11 19:49:00,31.86250,31.86250,31.86250,31.86250
2022-10-11 19:50:00,31.86200,31.86450,31.86200,31.86300
2022-10-11 19:51:00,31.86450,31.86450,31.86200,31.86200
2022-10-11 19:52:00,31.86450,31.86450,31.86450,31.86450
2022-10-11 19:53:00,31.86300,31.86400,31.86200,31.86400
2022-10-11 19:54:00,31.86400,31.87150,31.86200,31.86200
2022-10-11 19:55:00,31.86500,31.87350,31.86500,31.87350
2022-10-11 19:56:00,31.86500,31.87300,31.86400,31.87300
2022-10-11 19:57:00,31.86600,31.87300,31.86600,31.86700
2022-10-11 19:58:00,31.86800,31.87200,31.86700,31.86700
2022-10-11 19:59:00,31.86800,31.87100,31.86600,31.87100
2022-10-11 20:00:00,31.87000,31.87400,31.86700,31.86800
2022-10-11 20:01:00,31.86800,31.87650,31.86700,31.87000
2022-10-11 20:02:00,31.86900,31.87300,31.86900,31.87000
2022-10-11 20:03:00,31.86800,31.87500,31.86800,31.87000
2022-10-11 20:04:00,31.87100,31.87650,31.87000,31.87000
2022-10-11 20:06:00,31.87200,31.88350,31.87000,31.87100
2022-10-11 20:07:00,31.87100,31.88450,31.87100,31.88450
2022-10-11 20:08:00,31.87600,31.88450,31.87300,31.87400
2022-10-11 20:09:00,31.87800,31.88500,31.87400,31.88500
2022-10-11 20:10:00,31.87800,31.88200,31.87600,31.87700
2022-10-11 20:11:00,31.87900,31.88300,31.87600,31.88100
2022-10-11 20:12:00,31.87900,31.87900,31.87600,31.87800
2022-10-11 20:13:00,31.87900,31.88000,31.87700,31.88000
2022-10-11 20:14:00,31.87600,31.87700,31.87500,31.87700
2022-10-11 20:15:00,31.87600,31.87800,31.87600,31.87800
2022-10-11 20:16:00,31.87500,31.87800,31.87450,31.87450
2022-10-11 20:17:00,31.87700,31.88050,31.87600,31.87600
2022-10-11 20:18:00,31.87600,31.87700,31.87400,31.87400
2022-10-11 20:19:00,31.87500,31.87900,31.87400,31.87800
2022-10-11 20:20:00,31.87500,31.87500,31.86900,31.87100
2022-10-11 20:21:00,31.87200,31.87600,31.87200,31.87300
2022-10-11 20:22:00,31.87400,31.87400,31.86650,31.87000
2022-10-11 20:23:00,31.87000,31.87400,31.87000,31.87400
2022-10-11 20:24:00,31.87400,31.87400,31.86400,31.86900
2022-10-11 20:25:00,31.86900,31.87100,31.86400,31.86700
2022-10-11 20:26:00,31.86700,31.86800,31.86400,31.86400
2022-10-11 20:27:00,31.86700,31.86800,31.86400,31.86600
2022-10-11 20:28:00,31.86400,31.86500,31.86400,31.86500
2022-10-11 20:29:00,31.86600,31.86800,31.86400,31.86800
2022-10-11 20:30:00,31.86500,31.87000,31.86300,31.86400
2022-10-11 20:31:00,31.86400,31.87300,31.86300,31.86500
2022-10-11 20:32:00,31.87300,31.87300,31.86500,31.86700
2022-10-11 20:33:00,31.86700,31.87300,31.86500,31.86800
2022-10-11 20:34:00,31.86800,31.87300,31.86700,31.86700
2022-10-11 20:35:00,31.86800,31.87300,31.86700,31.86900
2022-10-11 20:36:00,31.87100,31.87200,31.86900,31.86900
2022-10-11 20:37:00,31.87000,31.87400,31.86800,31.86900
2022-10-11 20:38:00,31.87000,31.87400,31.86900,31.86900
2022-10-11 20:39:00,31.86900,31.87400,31.86900,31.87000
2022-10-11 20:40:00,31.87300,31.87300,31.87000,31.87100
2022-10-11 20:41:00,31.87300,31.87300,31.86500,31.86500
2022-10-11 20:42:00,31.86500,31.87200,31.86500,31.86800
2022-10-11 20:43:00,31.87000,31.87000,31.86400,31.86400
2022-10-11 20:44:00,31.86650,31.86900,31.86650,31.86700
2022-10-11 20:45:00,31.86700,31.86700,31.86400,31.86650
2022-10-11 20:46:00,31.86400,31.86600,31.86400,31.86500
2022-10-11 20:47:00,31.86550,31.86550,31.86400,31.86500
2022-10-11 20:48:00,31.86500,31.86750,31.86500,31.86750
2022-10-11 20:49:00,31.86500,31.86650,31.86500,31.86600
2022-10-11 20:50:00,31.86500,31.86750,31.86400,31.86400
2022-10-11 20:51:00,31.86400,31.86500,31.86400,31.86500
2022-10-11 20:52:00,31.86400,31.86600,31.86400,31.86500
2022-10-11 20:53:00,31.86400,31.86900,31.86400,31.86900
2022-10-11 20:54:00,31.86300,31.86500,31.86300,31.86400
2022-10-11 20:55:00,31.86900,31.86900,31.86400,31.86400
2022-10-11 20:56:00,31.86300,31.86400,31.86300,31.86400
2022-10-11 20:57:00,31.86600,31.86700,31.86300,31.86300
2022-10-11 20:58:00,31.86300,31.86400,31.86200,31.86400
2022-10-11 20:59:00,31.86400,31.86500,31.86300,31.86300
2022-10-11 21:00:00,31.86300,31.86900,31.86200,31.86200
2022-10-11 21:01:00,31.86300,31.87100,31.86300,31.86400
2022-10-11 21:02:00,31.86500,31.87800,31.86300,31.87800
2022-10-11 21:03:00,31.86300,31.86700,31.86300,31.86700
2022-10-11 21:04:00,31.86700,31.87800,31.86700,31.87100
2022-10-11 21:05:00,31.86700,31.87850,31.86700,31.86900
2022-10-11 21:06:00,31.87200,31.87800,31.86800,31.87100
2022-10-11 21:07:00,31.87100,31.87800,31.86800,31.87800
2022-10-11 21:08:00,31.87700,31.87700,31.86900,31.87300
2022-10-11 21:09:00,31.87100,31.87100,31.86800,31.87000
2022-10-11 21:10:00,31.87200,31.87300,31.87000,31.87100
2022-10-11 21:11:00,31.87000,31.87800,31.86800,31.86900
2022-10-11 21:12:00,31.87000,31.87200,31.87000,31.87200
2022-10-11 21:13:00,31.87100,31.87100,31.86900,31.86900
2022-10-11 21:14:00,31.86900,31.87700,31.86900,31.87100
2022-10-11 21:15:00,31.87000,31.87000,31.86900,31.86900
2022-10-11 21:16:00,31.87000,31.87700,31.87000,31.87100
2022-10-11 21:17:00,31.87000,31.87700,31.87000,31.87700
2022-10-11 21:18:00,31.87300,31.87300,31.87000,31.87100
2022-10-11 21:19:00,31.87500,31.87500,31.87000,31.87000
2022-10-11 21:20:00,31.87000,31.87600,31.87000,31.87300
2022-10-11 21:21:00,31.87100,31.87300,31.87000,31.87000
2022-10-11 21:22:00,31.87000,31.87200,31.87000,31.87200
2022-10-11 21:23:00,31.87100,31.87350,31.87000,31.87200
2022-10-11 21:24:00,31.87200,31.87200,31.87000,31.87100
2022-10-11 21:25:00,31.87200,31.87200,31.86900,31.87050
2022-10-11 21:26:00,31.87100,31.87100,31.86700,31.87000
2022-10-11 21:27:00,31.87000,31.87000,31.86050,31.86900
2022-10-11 21:28:00,31.86700,31.87100,31.86250,31.86250
2022-10-11 21:29:00,31.87000,31.87000,31.86250,31.86900
2022-10-11 21:30:00,31.86800,31.86800,31.86100,31.86100
2022-10-11 21:31:00,31.86100,31.86600,31.86100,31.86500
2022-10-11 21:32:00,31.86250,31.86600,31.86250,31.86300
2022-10-11 21:33:00,31.86100,31.86500,31.85500,31.86500
2022-10-11 21:34:00,31.85300,31.86400,31.85300,31.86100
2022-10-11 21:35:00,31.86100,31.86100,31.85600,31.85900
2022-10-11 21:36:00,31.85350,31.86000,31.85350,31.85700
2022-10-11 21:37:00,31.85350,31.85600,31.85300,31.85600
2022-10-11 21:38:00,31.85350,31.85600,31.85300,31.85500
2022-10-11 21:39:00,31.85350,31.85350,31.85200,31.85200
2022-10-11 21:40:00,31.85200,31.85400,31.85200,31.85300
2022-10-11 21:41:00,31.85200,31.85450,31.85000,31.85000
2022-10-11 21:42:00,31.85000,31.85500,31.85000,31.85500
2022-10-11 21:43:00,31.85100,31.85200,31.84900,31.84900
2022-10-11 21:44:00,31.85000,31.85450,31.84900,31.85450
2022-10-11 21:45:00,31.85100,31.85350,31.84800,31.84800
2022-10-11 21:46:00,31.84900,31.85000,31.84800,31.84800
2022-10-11 21:48:00,31.84800,31.85000,31.84800,31.85000
2022-10-11 21:49:00,31.84800,31.85200,31.84800,31.84900
2022-10-11 21:50:00,31.84800,31.85350,31.84800,31.85350
2022-10-11 21:51:00,31.84800,31.85000,31.84800,31.85000
2022-10-11 21:52:00,31.84700,31.85150,31.84700,31.85150
2022-10-11 21:53:00,31.84900,31.85200,31.84700,31.85200
2022-10-11 21:54:00,31.84700,31.84900,31.84600,31.84900
2022-10-11 21:55:00,31.84800,31.84900,31.84600,31.84900
2022-10-11 21:56:00,31.84600,31.84800,31.84500,31.84700
2022-10-11 21:57:00,31.84800,31.84800,31.84600,31.84700
2022-10-11 21:58:00,31.84700,31.84800,31.84700,31.84800
2022-10-11 21:59:00,31.84700,31.84800,31.84600,31.84650
2022-10-11 22:00:00,31.84800,31.84800,31.84800,31.84800
2022-10-11 22:01:00,31.84800,31.84800,31.84600,31.84700
2022-10-11 22:02:00,31.84800,31.84800,31.84800,31.84800
2022-10-11 22:03:00,31.84800,31.84800,31.84700,31.84700
2022-10-11 22:04:00,31.84700,31.84700,31.84700,31.84700
2022-10-11 22:05:00,31.84800,31.84800,31.84800,31.84800
2022-10-11 22:06:00,31.84800,31.84800,31.84700,31.84700
2022-10-11 22:08:00,31.84300,31.84800,31.84300,31.84800
2022-10-11 22:09:00,31.84400,31.84400,31.84400,31.84400
2022-10-11 22:10:00,31.84350,31.84600,31.84350,31.84400
2022-10-11 22:11:00,31.84400,31.84600,31.84400,31.84600
2022-10-11 22:12:00,31.84400,31.84500,31.84400,31.84500
2022-10-11 22:13:00,31.84300,31.84500,31.84300,31.84400
2022-10-11 22:14:00,31.84400,31.84500,31.84400,31.84500
2022-10-11 22:15:00,31.84300,31.84500,31.84300,31.84400
2022-10-11 22:16:00,31.84300,31.84400,31.84300,31.84400
2022-10-11 22:17:00,31.84400,31.84500,31.84300,31.84500
2022-10-11 22:18:00,31.84300,31.84500,31.84300,31.84400
2022-10-11 22:19:00,31.84400,31.84500,31.84300,31.84500
2022-10-11 22:20:00,31.84400,31.84500,31.84300,31.84500
2022-10-11 22:21:00,31.84400,31.84500,31.84400,31.84500
2022-10-11 22:22:00,31.84900,31.84900,31.84900,31.84900
2022-10-11 22:23:00,31.84400,31.84700,31.84400,31.84600
2022-10-11 22:24:00,31.84600,31.84900,31.84600,31.84900
2022-10-11 22:25:00,31.84800,31.84800,31.84700,31.84700
2022-10-11 22:26:00,31.84700,31.84900,31.84700,31.84800
2022-10-11 22:27:00,31.84700,31.84800,31.84700,31.84800
2022-10-11 22:28:00,31.84700,31.84800,31.84700,31.84800
2022-10-11 22:29:00,31.84800,31.84800,31.84700,31.84700
2022-10-11 22:30:00,31.84900,31.85000,31.84700,31.84800
2022-10-11 22:31:00,31.84800,31.85000,31.84800,31.85000
2022-10-11 22:32:00,31.84800,31.85000,31.84800,31.84900
2022-10-11 22:33:00,31.85000,31.85050,31.85000,31.85050
2022-10-11 22:34:00,31.85000,31.85100,31.84900,31.84900
2022-10-11 22:35:00,31.85100,31.85100,31.85000,31.85000
2022-10-11 22:36:00,31.85100,31.85250,31.85000,31.85000
2022-10-11 22:37:00,31.85100,31.85250,31.85100,31.85250
2022-10-11 22:38:00,31.85250,31.85350,31.85100,31.85350
2022-10-11 22:39:00,31.85100,31.85350,31.85100,31.85200
2022-10-11 22:40:00,31.85350,31.85350,31.85100,31.85100
2022-10-11 22:41:00,31.85100,31.85350,31.85100,31.85200
2022-10-11 22:42:00,31.85200,31.85400,31.85200,31.85400
2022-10-11 22:43:00,31.85300,31.85300,31.85100,31.85200
2022-10-11 22:44:00,31.85200,31.85300,31.85200,31.85300
2022-10-11 22:45:00,31.85200,31.85300,31.85100,31.85300
2022-10-11 22:46:00,31.85400,31.85400,31.85200,31.85200
2022-10-11 22:47:00,31.85200,31.85300,31.85100,31.85300
2022-10-11 22:48:00,31.85300,31.85800,31.85200,31.85200
2022-10-11 22:49:00,31.85300,31.85750,31.85200,31.85500
2022-10-11 22:50:00,31.85900,31.86100,31.85200,31.85300
2022-10-11 22:51:00,31.85300,31.86250,31.85200,31.85500
2022-10-11 22:52:00,31.85500,31.85600,31.85300,31.85400
2022-10-11 22:53:00,31.85400,31.86250,31.85400,31.85600
2022-10-11 22:54:00,31.85700,31.86250,31.85500,31.85600
2022-10-11 22:55:00,31.85600,31.86250,31.85600,31.85700
2022-10-11 22:56:00,31.86250,31.86250,31.85700,31.85700
2022-10-11 22:57:00,31.85700,31.86250,31.85700,31.86000
2022-10-11 22:58:00,31.85800,31.86150,31.85700,31.85700
2022-10-11 22:59:00,31.85700,31.86150,31.85700,31.85800
2022-10-11 23:00:00,31.85900,31.86000,31.85700,31.85700
2022-10-11 23:01:00,31.85700,31.86200,31.85700,31.86000
2022-10-11 23:02:00,31.85900,31.86000,31.85750,31.85750
2022-10-11 23:03:00,31.86000,31.86200,31.85750,31.85900
2022-10-11 23:04:00,31.85900,31.85900,31.85650,31.85650
2022-10-11 23:05:00,31.86000,31.86100,31.85650,31.85700
2022-10-11 23:06:00,31.85700,31.86700,31.85700,31.86000
2022-10-11 23:07:00,31.85900,31.85900,31.84950,31.85700
2022-10-11 23:08:00,31.84950,31.86100,31.84950,31.85900
2022-10-11 23:09:00,31.84850,31.85500,31.84850,31.85000
2022-10-11 23:10:00,31.85300,31.85600,31.84850,31.84900
2022-10-11 23:11:00,31.85200,31.85600,31.84800,31.85000
2022-10-11 23:12:00,31.85000,31.85300,31.85000,31.85100
2022-10-11 23:13:00,31.84900,31.85100,31.84100,31.84100
2022-10-11 23:14:00,31.85000,31.85100,31.84300,31.84800
2022-10-11 23:15:00,31.84700,31.84800,31.84100,31.84500
2022-10-11 23:16:00,31.84300,31.84800,31.84300,31.84600
2022-10-11 23:17:00,31.84700,31.84700,31.84200,31.84400
2022-10-11 23:18:00,31.84400,31.84700,31.84400,31.84450
2022-10-11 23:19:00,31.84600,31.84600,31.84300,31.84400
2022-10-11 23:20:00,31.84500,31.84600,31.84400,31.84600
2022-10-11 23:21:00,31.84400,31.84600,31.84400,31.84500
2022-10-11 23:22:00,31.84400,31.84600,31.84400,31.84500
2022-10-11 23:23:00,31.84500,31.84500,31.84500,31.84500
2022-10-11 23:24:00,31.84500,31.84600,31.84500,31.84600
2022-10-11 23:25:00,31.84400,31.84500,31.84400,31.84500
2022-10-11 23:26:00,31.84600,31.84600,31.84400,31.84500
2022-10-11 23:27:00,31.84400,31.84500,31.84400,31.84500
2022-10-11 23:28:00,31.84500,31.84600,31.84400,31.84600
2022-10-11 23:29:00,31.84500,31.84600,31.84400,31.84600
2022-10-11 23:30:00,31.84500,31.84600,31.84400,31.84400
2022-10-11 23:31:00,31.84500,31.84500,31.84500,31.84500
2022-10-11 23:32:00,31.84600,31.84600,31.84500,31.84500
2022-10-11 23:33:00,31.84500,31.84600,31.84200,31.84600
2022-10-11 23:34:00,31.84500,31.84500,31.83800,31.83800
2022-10-11 23:35:00,31.84400,31.84500,31.83700,31.84500
2022-10-11 23:36:00,31.84400,31.84400,31.83600,31.84000
2022-10-11 23:37:00,31.84200,31.84300,31.83400,31.83400
2022-10-11 23:38:00,31.83700,31.83900,31.82400,31.83900
2022-10-11 23:39:00,31.83900,31.84100,31.82400,31.83500
2022-10-11 23:40:00,31.83700,31.83700,31.82400,31.82400
2022-10-11 23:41:00,31.83400,31.83500,31.82400,31.83200
2022-10-11 23:42:00,31.83100,31.83200,31.82400,31.82400
2022-10-11 23:43:00,31.82700,31.83100,31.82400,31.83000
2022-10-11 23:44:00,31.82700,31.83100,31.82600,31.82600
2022-10-11 23:45:00,31.82800,31.83300,31.82600,31.82900
2022-10-11 23:46:00,31.82900,31.84200,31.82800,31.84200
2022-10-11 23:47:00,31.83100,31.84300,31.83100,31.84300
2022-10-11 23:48:00,31.83200,31.84400,31.83200,31.84400
2022-10-11 23:49:00,31.83500,31.84400,31.83400,31.84400
2022-10-11 23:50:00,31.83700,31.84300,31.83600,31.84300
2022-10-11 23:51:00,31.83700,31.84300,31.83600,31.84300
2022-10-11 23:52:00,31.83900,31.84300,31.83800,31.83800
2022-10-11 23:53:00,31.84000,31.84400,31.83800,31.84100
2022-10-11 23:54:00,31.83900,31.84650,31.83900,31.84000
2022-10-11 23:55:00,31.84000,31.84300,31.83900,31.84300
2022-10-11 23:56:00,31.84200,31.84400,31.84200,31.84400
2022-10-11 23:57:00,31.84300,31.84500,31.84300,31.84500
2022-10-11 23:58:00,31.84900,31.84900,31.84400,31.84500
2022-10-11 23:59:00,31.84900,31.84900,31.84500,31.84700
